X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,Y
90,85,90,86,89,85,89,88,89,85,90,89,85,87,87,91,90,85,87,85,88,88,87,85,90,85,89,85,90,85,90,88,89,84,89,84,90,84,89,90,90,88,85,82,83,86,86,88,89,88,90
85,90,86,89,85,89,88,89,85,90,89,85,87,87,91,90,85,87,85,88,88,87,85,90,85,89,85,90,85,90,88,89,84,89,84,90,84,89,90,90,88,85,82,83,86,86,88,89,88,90,87
90,86,89,85,89,88,89,85,90,89,85,87,87,91,90,85,87,85,88,88,87,85,90,85,89,85,90,85,90,88,89,84,89,84,90,84,89,90,90,88,85,82,83,86,86,88,89,88,90,87,90
86,89,85,89,88,89,85,90,89,85,87,87,91,90,85,87,85,88,88,87,85,90,85,89,85,90,85,90,88,89,84,89,84,90,84,89,90,90,88,85,82,83,86,86,88,89,88,90,87,90,86
89,85,89,88,89,85,90,89,85,87,87,91,90,85,87,85,88,88,87,85,90,85,89,85,90,85,90,88,89,84,89,84,90,84,89,90,90,88,85,82,83,86,86,88,89,88,90,87,90,86,89
85,89,88,89,85,90,89,85,87,87,91,90,85,87,85,88,88,87,85,90,85,89,85,90,85,90,88,89,84,89,84,90,84,89,90,90,88,85,82,83,86,86,88,89,88,90,87,90,86,89,90
89,88,89,85,90,89,85,87,87,91,90,85,87,85,88,88,87,85,90,85,89,85,90,85,90,88,89,84,89,84,90,84,89,90,90,88,85,82,83,86,86,88,89,88,90,87,90,86,89,90,89
88,89,85,90,89,85,87,87,91,90,85,87,85,88,88,87,85,90,85,89,85,90,85,90,88,89,84,89,84,90,84,89,90,90,88,85,82,83,86,86,88,89,88,90,87,90,86,89,90,89,86
89,85,90,89,85,87,87,91,90,85,87,85,88,88,87,85,90,85,89,85,90,85,90,88,89,84,89,84,90,84,89,90,90,88,85,82,83,86,86,88,89,88,90,87,90,86,89,90,89,86,86
85,90,89,85,87,87,91,90,85,87,85,88,88,87,85,90,85,89,85,90,85,90,88,89,84,89,84,90,84,89,90,90,88,85,82,83,86,86,88,89,88,90,87,90,86,89,90,89,86,86,87
90,89,85,87,87,91,90,85,87,85,88,88,87,85,90,85,89,85,90,85,90,88,89,84,89,84,90,84,89,90,90,88,85,82,83,86,86,88,89,88,90,87,90,86,89,90,89,86,86,87,90
89,85,87,87,91,90,85,87,85,88,88,87,85,90,85,89,85,90,85,90,88,89,84,89,84,90,84,89,90,90,88,85,82,83,86,86,88,89,88,90,87,90,86,89,90,89,86,86,87,90,87
85,87,87,91,90,85,87,85,88,88,87,85,90,85,89,85,90,85,90,88,89,84,89,84,90,84,89,90,90,88,85,82,83,86,86,88,89,88,90,87,90,86,89,90,89,86,86,87,90,87,89
87,87,91,90,85,87,85,88,88,87,85,90,85,89,85,90,85,90,88,89,84,89,84,90,84,89,90,90,88,85,82,83,86,86,88,89,88,90,87,90,86,89,90,89,86,86,87,90,87,89,91
87,91,90,85,87,85,88,88,87,85,90,85,89,85,90,85,90,88,89,84,89,84,90,84,89,90,90,88,85,82,83,86,86,88,89,88,90,87,90,86,89,90,89,86,86,87,90,87,89,91,90
91,90,85,87,85,88,88,87,85,90,85,89,85,90,85,90,88,89,84,89,84,90,84,89,90,90,88,85,82,83,86,86,88,89,88,90,87,90,86,89,90,89,86,86,87,90,87,89,91,90,87
90,85,87,85,88,88,87,85,90,85,89,85,90,85,90,88,89,84,89,84,90,84,89,90,90,88,85,82,83,86,86,88,89,88,90,87,90,86,89,90,89,86,86,87,90,87,89,91,90,87,89
85,87,85,88,88,87,85,90,85,89,85,90,85,90,88,89,84,89,84,90,84,89,90,90,88,85,82,83,86,86,88,89,88,90,87,90,86,89,90,89,86,86,87,90,87,89,91,90,87,89,84
87,85,88,88,87,85,90,85,89,85,90,85,90,88,89,84,89,84,90,84,89,90,90,88,85,82,83,86,86,88,89,88,90,87,90,86,89,90,89,86,86,87,90,87,89,91,90,87,89,84,85
85,88,88,87,85,90,85,89,85,90,85,90,88,89,84,89,84,90,84,89,90,90,88,85,82,83,86,86,88,89,88,90,87,90,86,89,90,89,86,86,87,90,87,89,91,90,87,89,84,85,87
88,88,87,85,90,85,89,85,90,85,90,88,89,84,89,84,90,84,89,90,90,88,85,82,83,86,86,88,89,88,90,87,90,86,89,90,89,86,86,87,90,87,89,91,90,87,89,84,85,87,86
88,87,85,90,85,89,85,90,85,90,88,89,84,89,84,90,84,89,90,90,88,85,82,83,86,86,88,89,88,90,87,90,86,89,90,89,86,86,87,90,87,89,91,90,87,89,84,85,87,86,87
87,85,90,85,89,85,90,85,90,88,89,84,89,84,90,84,89,90,90,88,85,82,83,86,86,88,89,88,90,87,90,86,89,90,89,86,86,87,90,87,89,91,90,87,89,84,85,87,86,87,88
85,90,85,89,85,90,85,90,88,89,84,89,84,90,84,89,90,90,88,85,82,83,86,86,88,89,88,90,87,90,86,89,90,89,86,86,87,90,87,89,91,90,87,89,84,85,87,86,87,88,88
90,85,89,85,90,85,90,88,89,84,89,84,90,84,89,90,90,88,85,82,83,86,86,88,89,88,90,87,90,86,89,90,89,86,86,87,90,87,89,91,90,87,89,84,85,87,86,87,88,88,88
85,89,85,90,85,90,88,89,84,89,84,90,84,89,90,90,88,85,82,83,86,86,88,89,88,90,87,90,86,89,90,89,86,86,87,90,87,89,91,90,87,89,84,85,87,86,87,88,88,88,85
89,85,90,85,90,88,89,84,89,84,90,84,89,90,90,88,85,82,83,86,86,88,89,88,90,87,90,86,89,90,89,86,86,87,90,87,89,91,90,87,89,84,85,87,86,87,88,88,88,85,90
85,90,85,90,88,89,84,89,84,90,84,89,90,90,88,85,82,83,86,86,88,89,88,90,87,90,86,89,90,89,86,86,87,90,87,89,91,90,87,89,84,85,87,86,87,88,88,88,85,90,86
90,85,90,88,89,84,89,84,90,84,89,90,90,88,85,82,83,86,86,88,89,88,90,87,90,86,89,90,89,86,86,87,90,87,89,91,90,87,89,84,85,87,86,87,88,88,88,85,90,86,90
85,90,88,89,84,89,84,90,84,89,90,90,88,85,82,83,86,86,88,89,88,90,87,90,86,89,90,89,86,86,87,90,87,89,91,90,87,89,84,85,87,86,87,88,88,88,85,90,86,90,88
90,88,89,84,89,84,90,84,89,90,90,88,85,82,83,86,86,88,89,88,90,87,90,86,89,90,89,86,86,87,90,87,89,91,90,87,89,84,85,87,86,87,88,88,88,85,90,86,90,88,89
88,89,84,89,84,90,84,89,90,90,88,85,82,83,86,86,88,89,88,90,87,90,86,89,90,89,86,86,87,90,87,89,91,90,87,89,84,85,87,86,87,88,88,88,85,90,86,90,88,89,84
89,84,89,84,90,84,89,90,90,88,85,82,83,86,86,88,89,88,90,87,90,86,89,90,89,86,86,87,90,87,89,91,90,87,89,84,85,87,86,87,88,88,88,85,90,86,90,88,89,84,85
84,89,84,90,84,89,90,90,88,85,82,83,86,86,88,89,88,90,87,90,86,89,90,89,86,86,87,90,87,89,91,90,87,89,84,85,87,86,87,88,88,88,85,90,86,90,88,89,84,85,80
89,84,90,84,89,90,90,88,85,82,83,86,86,88,89,88,90,87,90,86,89,90,89,86,86,87,90,87,89,91,90,87,89,84,85,87,86,87,88,88,88,85,90,86,90,88,89,84,85,80,91
84,90,84,89,90,90,88,85,82,83,86,86,88,89,88,90,87,90,86,89,90,89,86,86,87,90,87,89,91,90,87,89,84,85,87,86,87,88,88,88,85,90,86,90,88,89,84,85,80,91,85
90,84,89,90,90,88,85,82,83,86,86,88,89,88,90,87,90,86,89,90,89,86,86,87,90,87,89,91,90,87,89,84,85,87,86,87,88,88,88,85,90,86,90,88,89,84,85,80,91,85,90
84,89,90,90,88,85,82,83,86,86,88,89,88,90,87,90,86,89,90,89,86,86,87,90,87,89,91,90,87,89,84,85,87,86,87,88,88,88,85,90,86,90,88,89,84,85,80,91,85,90,90
89,90,90,88,85,82,83,86,86,88,89,88,90,87,90,86,89,90,89,86,86,87,90,87,89,91,90,87,89,84,85,87,86,87,88,88,88,85,90,86,90,88,89,84,85,80,91,85,90,90,90
90,90,88,85,82,83,86,86,88,89,88,90,87,90,86,89,90,89,86,86,87,90,87,89,91,90,87,89,84,85,87,86,87,88,88,88,85,90,86,90,88,89,84,85,80,91,85,90,90,90,85
90,88,85,82,83,86,86,88,89,88,90,87,90,86,89,90,89,86,86,87,90,87,89,91,90,87,89,84,85,87,86,87,88,88,88,85,90,86,90,88,89,84,85,80,91,85,90,90,90,85,89
88,85,82,83,86,86,88,89,88,90,87,90,86,89,90,89,86,86,87,90,87,89,91,90,87,89,84,85,87,86,87,88,88,88,85,90,86,90,88,89,84,85,80,91,85,90,90,90,85,89,84
85,82,83,86,86,88,89,88,90,87,90,86,89,90,89,86,86,87,90,87,89,91,90,87,89,84,85,87,86,87,88,88,88,85,90,86,90,88,89,84,85,80,91,85,90,90,90,85,89,84,90
82,83,86,86,88,89,88,90,87,90,86,89,90,89,86,86,87,90,87,89,91,90,87,89,84,85,87,86,87,88,88,88,85,90,86,90,88,89,84,85,80,91,85,90,90,90,85,89,84,90,87
83,86,86,88,89,88,90,87,90,86,89,90,89,86,86,87,90,87,89,91,90,87,89,84,85,87,86,87,88,88,88,85,90,86,90,88,89,84,85,80,91,85,90,90,90,85,89,84,90,87,90
86,86,88,89,88,90,87,90,86,89,90,89,86,86,87,90,87,89,91,90,87,89,84,85,87,86,87,88,88,88,85,90,86,90,88,89,84,85,80,91,85,90,90,90,85,89,84,90,87,90,89
86,88,89,88,90,87,90,86,89,90,89,86,86,87,90,87,89,91,90,87,89,84,85,87,86,87,88,88,88,85,90,86,90,88,89,84,85,80,91,85,90,90,90,85,89,84,90,87,90,89,85
88,89,88,90,87,90,86,89,90,89,86,86,87,90,87,89,91,90,87,89,84,85,87,86,87,88,88,88,85,90,86,90,88,89,84,85,80,91,85,90,90,90,85,89,84,90,87,90,89,85,87
89,88,90,87,90,86,89,90,89,86,86,87,90,87,89,91,90,87,89,84,85,87,86,87,88,88,88,85,90,86,90,88,89,84,85,80,91,85,90,90,90,85,89,84,90,87,90,89,85,87,84
88,90,87,90,86,89,90,89,86,86,87,90,87,89,91,90,87,89,84,85,87,86,87,88,88,88,85,90,86,90,88,89,84,85,80,91,85,90,90,90,85,89,84,90,87,90,89,85,87,84,85
90,87,90,86,89,90,89,86,86,87,90,87,89,91,90,87,89,84,85,87,86,87,88,88,88,85,90,86,90,88,89,84,85,80,91,85,90,90,90,85,89,84,90,87,90,89,85,87,84,85,88
87,90,86,89,90,89,86,86,87,90,87,89,91,90,87,89,84,85,87,86,87,88,88,88,85,90,86,90,88,89,84,85,80,91,85,90,90,90,85,89,84,90,87,90,89,85,87,84,85,88,84
90,86,89,90,89,86,86,87,90,87,89,91,90,87,89,84,85,87,86,87,88,88,88,85,90,86,90,88,89,84,85,80,91,85,90,90,90,85,89,84,90,87,90,89,85,87,84,85,88,84,87
86,89,90,89,86,86,87,90,87,89,91,90,87,89,84,85,87,86,87,88,88,88,85,90,86,90,88,89,84,85,80,91,85,90,90,90,85,89,84,90,87,90,89,85,87,84,85,88,84,87,90
89,90,89,86,86,87,90,87,89,91,90,87,89,84,85,87,86,87,88,88,88,85,90,86,90,88,89,84,85,80,91,85,90,90,90,85,89,84,90,87,90,89,85,87,84,85,88,84,87,90,90
90,89,86,86,87,90,87,89,91,90,87,89,84,85,87,86,87,88,88,88,85,90,86,90,88,89,84,85,80,91,85,90,90,90,85,89,84,90,87,90,89,85,87,84,85,88,84,87,90,90,84
89,86,86,87,90,87,89,91,90,87,89,84,85,87,86,87,88,88,88,85,90,86,90,88,89,84,85,80,91,85,90,90,90,85,89,84,90,87,90,89,85,87,84,85,88,84,87,90,90,84,87
86,86,87,90,87,89,91,90,87,89,84,85,87,86,87,88,88,88,85,90,86,90,88,89,84,85,80,91,85,90,90,90,85,89,84,90,87,90,89,85,87,84,85,88,84,87,90,90,84,87,84
86,87,90,87,89,91,90,87,89,84,85,87,86,87,88,88,88,85,90,86,90,88,89,84,85,80,91,85,90,90,90,85,89,84,90,87,90,89,85,87,84,85,88,84,87,90,90,84,87,84,90
87,90,87,89,91,90,87,89,84,85,87,86,87,88,88,88,85,90,86,90,88,89,84,85,80,91,85,90,90,90,85,89,84,90,87,90,89,85,87,84,85,88,84,87,90,90,84,87,84,90,85
90,87,89,91,90,87,89,84,85,87,86,87,88,88,88,85,90,86,90,88,89,84,85,80,91,85,90,90,90,85,89,84,90,87,90,89,85,87,84,85,88,84,87,90,90,84,87,84,90,85,90
87,89,91,90,87,89,84,85,87,86,87,88,88,88,85,90,86,90,88,89,84,85,80,91,85,90,90,90,85,89,84,90,87,90,89,85,87,84,85,88,84,87,90,90,84,87,84,90,85,90,91
89,91,90,87,89,84,85,87,86,87,88,88,88,85,90,86,90,88,89,84,85,80,91,85,90,90,90,85,89,84,90,87,90,89,85,87,84,85,88,84,87,90,90,84,87,84,90,85,90,91,89
91,90,87,89,84,85,87,86,87,88,88,88,85,90,86,90,88,89,84,85,80,91,85,90,90,90,85,89,84,90,87,90,89,85,87,84,85,88,84,87,90,90,84,87,84,90,85,90,91,89,85
90,87,89,84,85,87,86,87,88,88,88,85,90,86,90,88,89,84,85,80,91,85,90,90,90,85,89,84,90,87,90,89,85,87,84,85,88,84,87,90,90,84,87,84,90,85,90,91,89,85,90
87,89,84,85,87,86,87,88,88,88,85,90,86,90,88,89,84,85,80,91,85,90,90,90,85,89,84,90,87,90,89,85,87,84,85,88,84,87,90,90,84,87,84,90,85,90,91,89,85,90,84
89,84,85,87,86,87,88,88,88,85,90,86,90,88,89,84,85,80,91,85,90,90,90,85,89,84,90,87,90,89,85,87,84,85,88,84,87,90,90,84,87,84,90,85,90,91,89,85,90,84,90
84,85,87,86,87,88,88,88,85,90,86,90,88,89,84,85,80,91,85,90,90,90,85,89,84,90,87,90,89,85,87,84,85,88,84,87,90,90,84,87,84,90,85,90,91,89,85,90,84,90,85
85,87,86,87,88,88,88,85,90,86,90,88,89,84,85,80,91,85,90,90,90,85,89,84,90,87,90,89,85,87,84,85,88,84,87,90,90,84,87,84,90,85,90,91,89,85,90,84,90,85,90
87,86,87,88,88,88,85,90,86,90,88,89,84,85,80,91,85,90,90,90,85,89,84,90,87,90,89,85,87,84,85,88,84,87,90,90,84,87,84,90,85,90,91,89,85,90,84,90,85,90,84
86,87,88,88,88,85,90,86,90,88,89,84,85,80,91,85,90,90,90,85,89,84,90,87,90,89,85,87,84,85,88,84,87,90,90,84,87,84,90,85,90,91,89,85,90,84,90,85,90,84,90
87,88,88,88,85,90,86,90,88,89,84,85,80,91,85,90,90,90,85,89,84,90,87,90,89,85,87,84,85,88,84,87,90,90,84,87,84,90,85,90,91,89,85,90,84,90,85,90,84,90,85
88,88,88,85,90,86,90,88,89,84,85,80,91,85,90,90,90,85,89,84,90,87,90,89,85,87,84,85,88,84,87,90,90,84,87,84,90,85,90,91,89,85,90,84,90,85,90,84,90,85,89
88,88,85,90,86,90,88,89,84,85,80,91,85,90,90,90,85,89,84,90,87,90,89,85,87,84,85,88,84,87,90,90,84,87,84,90,85,90,91,89,85,90,84,90,85,90,84,90,85,89,90
88,85,90,86,90,88,89,84,85,80,91,85,90,90,90,85,89,84,90,87,90,89,85,87,84,85,88,84,87,90,90,84,87,84,90,85,90,91,89,85,90,84,90,85,90,84,90,85,89,90,83
85,90,86,90,88,89,84,85,80,91,85,90,90,90,85,89,84,90,87,90,89,85,87,84,85,88,84,87,90,90,84,87,84,90,85,90,91,89,85,90,84,90,85,90,84,90,85,89,90,83,86
90,86,90,88,89,84,85,80,91,85,90,90,90,85,89,84,90,87,90,89,85,87,84,85,88,84,87,90,90,84,87,84,90,85,90,91,89,85,90,84,90,85,90,84,90,85,89,90,83,86,85
86,90,88,89,84,85,80,91,85,90,90,90,85,89,84,90,87,90,89,85,87,84,85,88,84,87,90,90,84,87,84,90,85,90,91,89,85,90,84,90,85,90,84,90,85,89,90,83,86,85,88
90,88,89,84,85,80,91,85,90,90,90,85,89,84,90,87,90,89,85,87,84,85,88,84,87,90,90,84,87,84,90,85,90,91,89,85,90,84,90,85,90,84,90,85,89,90,83,86,85,88,89
88,89,84,85,80,91,85,90,90,90,85,89,84,90,87,90,89,85,87,84,85,88,84,87,90,90,84,87,84,90,85,90,91,89,85,90,84,90,85,90,84,90,85,89,90,83,86,85,88,89,86
89,84,85,80,91,85,90,90,90,85,89,84,90,87,90,89,85,87,84,85,88,84,87,90,90,84,87,84,90,85,90,91,89,85,90,84,90,85,90,84,90,85,89,90,83,86,85,88,89,86,84
84,85,80,91,85,90,90,90,85,89,84,90,87,90,89,85,87,84,85,88,84,87,90,90,84,87,84,90,85,90,91,89,85,90,84,90,85,90,84,90,85,89,90,83,86,85,88,89,86,84,86
85,80,91,85,90,90,90,85,89,84,90,87,90,89,85,87,84,85,88,84,87,90,90,84,87,84,90,85,90,91,89,85,90,84,90,85,90,84,90,85,89,90,83,86,85,88,89,86,84,86,87
80,91,85,90,90,90,85,89,84,90,87,90,89,85,87,84,85,88,84,87,90,90,84,87,84,90,85,90,91,89,85,90,84,90,85,90,84,90,85,89,90,83,86,85,88,89,86,84,86,87,84
91,85,90,90,90,85,89,84,90,87,90,89,85,87,84,85,88,84,87,90,90,84,87,84,90,85,90,91,89,85,90,84,90,85,90,84,90,85,89,90,83,86,85,88,89,86,84,86,87,84,87
85,90,90,90,85,89,84,90,87,90,89,85,87,84,85,88,84,87,90,90,84,87,84,90,85,90,91,89,85,90,84,90,85,90,84,90,85,89,90,83,86,85,88,89,86,84,86,87,84,87,90
90,90,90,85,89,84,90,87,90,89,85,87,84,85,88,84,87,90,90,84,87,84,90,85,90,91,89,85,90,84,90,85,90,84,90,85,89,90,83,86,85,88,89,86,84,86,87,84,87,90,90
90,90,85,89,84,90,87,90,89,85,87,84,85,88,84,87,90,90,84,87,84,90,85,90,91,89,85,90,84,90,85,90,84,90,85,89,90,83,86,85,88,89,86,84,86,87,84,87,90,90,85
90,85,89,84,90,87,90,89,85,87,84,85,88,84,87,90,90,84,87,84,90,85,90,91,89,85,90,84,90,85,90,84,90,85,89,90,83,86,85,88,89,86,84,86,87,84,87,90,90,85,89
85,89,84,90,87,90,89,85,87,84,85,88,84,87,90,90,84,87,84,90,85,90,91,89,85,90,84,90,85,90,84,90,85,89,90,83,86,85,88,89,86,84,86,87,84,87,90,90,85,89,80
89,84,90,87,90,89,85,87,84,85,88,84,87,90,90,84,87,84,90,85,90,91,89,85,90,84,90,85,90,84,90,85,89,90,83,86,85,88,89,86,84,86,87,84,87,90,90,85,89,80,82
84,90,87,90,89,85,87,84,85,88,84,87,90,90,84,87,84,90,85,90,91,89,85,90,84,90,85,90,84,90,85,89,90,83,86,85,88,89,86,84,86,87,84,87,90,90,85,89,80,82,86
90,87,90,89,85,87,84,85,88,84,87,90,90,84,87,84,90,85,90,91,89,85,90,84,90,85,90,84,90,85,89,90,83,86,85,88,89,86,84,86,87,84,87,90,90,85,89,80,82,86,90
87,90,89,85,87,84,85,88,84,87,90,90,84,87,84,90,85,90,91,89,85,90,84,90,85,90,84,90,85,89,90,83,86,85,88,89,86,84,86,87,84,87,90,90,85,89,80,82,86,90,87
90,89,85,87,84,85,88,84,87,90,90,84,87,84,90,85,90,91,89,85,90,84,90,85,90,84,90,85,89,90,83,86,85,88,89,86,84,86,87,84,87,90,90,85,89,80,82,86,90,87,90
89,85,87,84,85,88,84,87,90,90,84,87,84,90,85,90,91,89,85,90,84,90,85,90,84,90,85,89,90,83,86,85,88,89,86,84,86,87,84,87,90,90,85,89,80,82,86,90,87,90,87
85,87,84,85,88,84,87,90,90,84,87,84,90,85,90,91,89,85,90,84,90,85,90,84,90,85,89,90,83,86,85,88,89,86,84,86,87,84,87,90,90,85,89,80,82,86,90,87,90,87,89
87,84,85,88,84,87,90,90,84,87,84,90,85,90,91,89,85,90,84,90,85,90,84,90,85,89,90,83,86,85,88,89,86,84,86,87,84,87,90,90,85,89,80,82,86,90,87,90,87,89,88
84,85,88,84,87,90,90,84,87,84,90,85,90,91,89,85,90,84,90,85,90,84,90,85,89,90,83,86,85,88,89,86,84,86,87,84,87,90,90,85,89,80,82,86,90,87,90,87,89,88,90
85,88,84,87,90,90,84,87,84,90,85,90,91,89,85,90,84,90,85,90,84,90,85,89,90,83,86,85,88,89,86,84,86,87,84,87,90,90,85,89,80,82,86,90,87,90,87,89,88,90,86
88,84,87,90,90,84,87,84,90,85,90,91,89,85,90,84,90,85,90,84,90,85,89,90,83,86,85,88,89,86,84,86,87,84,87,90,90,85,89,80,82,86,90,87,90,87,89,88,90,86,90
84,87,90,90,84,87,84,90,85,90,91,89,85,90,84,90,85,90,84,90,85,89,90,83,86,85,88,89,86,84,86,87,84,87,90,90,85,89,80,82,86,90,87,90,87,89,88,90,86,90,89
87,90,90,84,87,84,90,85,90,91,89,85,90,84,90,85,90,84,90,85,89,90,83,86,85,88,89,86,84,86,87,84,87,90,90,85,89,80,82,86,90,87,90,87,89,88,90,86,90,89,90
90,90,84,87,84,90,85,90,91,89,85,90,84,90,85,90,84,90,85,89,90,83,86,85,88,89,86,84,86,87,84,87,90,90,85,89,80,82,86,90,87,90,87,89,88,90,86,90,89,90,87
90,84,87,84,90,85,90,91,89,85,90,84,90,85,90,84,90,85,89,90,83,86,85,88,89,86,84,86,87,84,87,90,90,85,89,80,82,86,90,87,90,87,89,88,90,86,90,89,90,87,87
84,87,84,90,85,90,91,89,85,90,84,90,85,90,84,90,85,89,90,83,86,85,88,89,86,84,86,87,84,87,90,90,85,89,80,82,86,90,87,90,87,89,88,90,86,90,89,90,87,87,87
87,84,90,85,90,91,89,85,90,84,90,85,90,84,90,85,89,90,83,86,85,88,89,86,84,86,87,84,87,90,90,85,89,80,82,86,90,87,90,87,89,88,90,86,90,89,90,87,87,87,88
84,90,85,90,91,89,85,90,84,90,85,90,84,90,85,89,90,83,86,85,88,89,86,84,86,87,84,87,90,90,85,89,80,82,86,90,87,90,87,89,88,90,86,90,89,90,87,87,87,88,87
90,85,90,91,89,85,90,84,90,85,90,84,90,85,89,90,83,86,85,88,89,86,84,86,87,84,87,90,90,85,89,80,82,86,90,87,90,87,89,88,90,86,90,89,90,87,87,87,88,87,87
85,90,91,89,85,90,84,90,85,90,84,90,85,89,90,83,86,85,88,89,86,84,86,87,84,87,90,90,85,89,80,82,86,90,87,90,87,89,88,90,86,90,89,90,87,87,87,88,87,87,89
90,91,89,85,90,84,90,85,90,84,90,85,89,90,83,86,85,88,89,86,84,86,87,84,87,90,90,85,89,80,82,86,90,87,90,87,89,88,90,86,90,89,90,87,87,87,88,87,87,89,90
91,89,85,90,84,90,85,90,84,90,85,89,90,83,86,85,88,89,86,84,86,87,84,87,90,90,85,89,80,82,86,90,87,90,87,89,88,90,86,90,89,90,87,87,87,88,87,87,89,90,88
89,85,90,84,90,85,90,84,90,85,89,90,83,86,85,88,89,86,84,86,87,84,87,90,90,85,89,80,82,86,90,87,90,87,89,88,90,86,90,89,90,87,87,87,88,87,87,89,90,88,87
85,90,84,90,85,90,84,90,85,89,90,83,86,85,88,89,86,84,86,87,84,87,90,90,85,89,80,82,86,90,87,90,87,89,88,90,86,90,89,90,87,87,87,88,87,87,89,90,88,87,88
90,84,90,85,90,84,90,85,89,90,83,86,85,88,89,86,84,86,87,84,87,90,90,85,89,80,82,86,90,87,90,87,89,88,90,86,90,89,90,87,87,87,88,87,87,89,90,88,87,88,90
84,90,85,90,84,90,85,89,90,83,86,85,88,89,86,84,86,87,84,87,90,90,85,89,80,82,86,90,87,90,87,89,88,90,86,90,89,90,87,87,87,88,87,87,89,90,88,87,88,90,87
90,85,90,84,90,85,89,90,83,86,85,88,89,86,84,86,87,84,87,90,90,85,89,80,82,86,90,87,90,87,89,88,90,86,90,89,90,87,87,87,88,87,87,89,90,88,87,88,90,87,90
85,90,84,90,85,89,90,83,86,85,88,89,86,84,86,87,84,87,90,90,85,89,80,82,86,90,87,90,87,89,88,90,86,90,89,90,87,87,87,88,87,87,89,90,88,87,88,90,87,90,87
90,84,90,85,89,90,83,86,85,88,89,86,84,86,87,84,87,90,90,85,89,80,82,86,90,87,90,87,89,88,90,86,90,89,90,87,87,87,88,87,87,89,90,88,87,88,90,87,90,87,90
84,90,85,89,90,83,86,85,88,89,86,84,86,87,84,87,90,90,85,89,80,82,86,90,87,90,87,89,88,90,86,90,89,90,87,87,87,88,87,87,89,90,88,87,88,90,87,90,87,90,87
90,85,89,90,83,86,85,88,89,86,84,86,87,84,87,90,90,85,89,80,82,86,90,87,90,87,89,88,90,86,90,89,90,87,87,87,88,87,87,89,90,88,87,88,90,87,90,87,90,87,90
85,89,90,83,86,85,88,89,86,84,86,87,84,87,90,90,85,89,80,82,86,90,87,90,87,89,88,90,86,90,89,90,87,87,87,88,87,87,89,90,88,87,88,90,87,90,87,90,87,90,86
89,90,83,86,85,88,89,86,84,86,87,84,87,90,90,85,89,80,82,86,90,87,90,87,89,88,90,86,90,89,90,87,87,87,88,87,87,89,90,88,87,88,90,87,90,87,90,87,90,86,89
90,83,86,85,88,89,86,84,86,87,84,87,90,90,85,89,80,82,86,90,87,90,87,89,88,90,86,90,89,90,87,87,87,88,87,87,89,90,88,87,88,90,87,90,87,90,87,90,86,89,88
83,86,85,88,89,86,84,86,87,84,87,90,90,85,89,80,82,86,90,87,90,87,89,88,90,86,90,89,90,87,87,87,88,87,87,89,90,88,87,88,90,87,90,87,90,87,90,86,89,88,89
86,85,88,89,86,84,86,87,84,87,90,90,85,89,80,82,86,90,87,90,87,89,88,90,86,90,89,90,87,87,87,88,87,87,89,90,88,87,88,90,87,90,87,90,87,90,86,89,88,89,89
85,88,89,86,84,86,87,84,87,90,90,85,89,80,82,86,90,87,90,87,89,88,90,86,90,89,90,87,87,87,88,87,87,89,90,88,87,88,90,87,90,87,90,87,90,86,89,88,89,89,89
88,89,86,84,86,87,84,87,90,90,85,89,80,82,86,90,87,90,87,89,88,90,86,90,89,90,87,87,87,88,87,87,89,90,88,87,88,90,87,90,87,90,87,90,86,89,88,89,89,89,85
89,86,84,86,87,84,87,90,90,85,89,80,82,86,90,87,90,87,89,88,90,86,90,89,90,87,87,87,88,87,87,89,90,88,87,88,90,87,90,87,90,87,90,86,89,88,89,89,89,85,90
86,84,86,87,84,87,90,90,85,89,80,82,86,90,87,90,87,89,88,90,86,90,89,90,87,87,87,88,87,87,89,90,88,87,88,90,87,90,87,90,87,90,86,89,88,89,89,89,85,90,89
84,86,87,84,87,90,90,85,89,80,82,86,90,87,90,87,89,88,90,86,90,89,90,87,87,87,88,87,87,89,90,88,87,88,90,87,90,87,90,87,90,86,89,88,89,89,89,85,90,89,87
86,87,84,87,90,90,85,89,80,82,86,90,87,90,87,89,88,90,86,90,89,90,87,87,87,88,87,87,89,90,88,87,88,90,87,90,87,90,87,90,86,89,88,89,89,89,85,90,89,87,87
87,84,87,90,90,85,89,80,82,86,90,87,90,87,89,88,90,86,90,89,90,87,87,87,88,87,87,89,90,88,87,88,90,87,90,87,90,87,90,86,89,88,89,89,89,85,90,89,87,87,87
84,87,90,90,85,89,80,82,86,90,87,90,87,89,88,90,86,90,89,90,87,87,87,88,87,87,89,90,88,87,88,90,87,90,87,90,87,90,86,89,88,89,89,89,85,90,89,87,87,87,89
87,90,90,85,89,80,82,86,90,87,90,87,89,88,90,86,90,89,90,87,87,87,88,87,87,89,90,88,87,88,90,87,90,87,90,87,90,86,89,88,89,89,89,85,90,89,87,87,87,89,90
